recipe_name,description,ingredients,methods
"
                Nigerian Salad
            ","
                    At Shoprite, we love healthy, nutritious food! This easy and filling salad is a perfect dish all by itself. Are you looking for extra goodness? Go ahead and add another egg or two! 
                ","
                ,10 Carrots,
1 Medium Cabbage,
2 Medium Cucumbers,
                ,1 Bulb Lettuce,
300g Baked Beans,
4 Hard Boiled Eggs,
                ,400g Sweet Corn,
2 Medium Onion,
1 Heinz Salad Cream","Peel and grate the carrots. Slice the cabbage into thin shreds. Peel and slice cucumber, lettuce and onions into small bits. Cut the hard boiled eggs thinly. Wash and place them all in separate bowls.,
,In a separate bowl, layer the salad ingredients starting with the cabbage, then carrots, cucumbers, lettuce, onions, sweet corn and baked beans. Reserve the eggs for the top of the salad.,
,You can have 2 layers of each, depending on how big your bowl is. Layer until your ingredients are exhausted.,
,Place in the fridge to cool, then serve with Heinz Salad Cream, because no Nigerian salad is complete without it!"
"
                Efo Riro
            ","
                    Try this hearty soup the next time you’re looking for a comforting, stay-at-home meal. Full of flavour and meaty goodness – it will soon be a favourite!  Don’t forget to add the ground crayfish for extra tastiness. 
                ","
                ,4 Large Tatashe (Bell Peppers),
2 Large Onions,
2 Habanero Peppers,
1/4 Cup Locust Beans,
1/2 Crayfish (Ground),
,
                ,1 tsp Salt,
Beef Broth,
1 Cup Beef Broth,
1 Seasoning Cube,
,
                ,Soko Vegetables,
1/2 Palm Oil,
1kg Assorted Meats (Shaki, Ponmo, Beef)","Make sure meats are boiled till soft.,
,Mix peppers and 1 onion together roughly.,
,Heat up palm oil, add chopped onion and blended crayfish and fry till onion is soft and transparent.,
,Pour the blended pepper mix into the pot of oil, add 1 bouillon cube, locust beans, beef broth and allow to cook. Don't cover the pot. Be sure to stir the contents often so that it does not burn.,
,After about 10 minutes, the water should have reduced and oil floating to the top. Add meats and broth and continue to cook for another 10 minutes.,
,Make sure Soko leaves are washed properly and chopped. Add to pepper mix and leave for 5 minutes."
"
                Yam Porridge
            ","
                    This yam porridge – full of hearty flavour – has a great zing to it! Feel free to add extra chillies if you’re brave enough. Try our recipe today!
                ","
                ,5 Thick Slices of Yam,
3 Cups Water,
3 tbsp. Crayfish,
3 tbsp. Palm Oil,
                ,1 tsp. Salt,
1 tsp. Seasoning,
1 tsp. Thyme,
1 tsp. Curry,
,
                ,2 Handfuls Ugu,
2 Serving Spoons Pepper Mix (Habanero, Bell Pepper and Red Chilli)","Cut Yam into cubes and wash,
,Add to pot, add water and boil for 10 minutes.,
,Add crayfish, salt, seasoning, palm oil, peppers, curry, thyme, and cook for 15 minutes.,
,Add vegetables and cook for 1 minute."
"
                Afang Soup
            ","
                    This afang soup recipe combines the well-loved flavours of Afang and Waterleaf. Add to the mixture your favourite meats and you have yourself a delicious meal. Follow the simple steps below and you’ll be enjoying a lovely bowl of afang soup in no time.
                ","
                ,2 bunches of Waterleaf (chopped),
2 cups of Ukazi Leaves (blended),
1 kg Goat meat,
300 g Pomo,
,
                ,1 stock fish head,
1 tbsp. salt,
1 tbsp. Cayenne Pepper,
4 tbsp. Crayfish,
                ,1/4 cup palm oil,
1/4 Periwinkle,
2 seasoning cubes","Season goat meat with salt, Cayenne Pepper and seasoning cube.,
,Cook the goat meat along with the washed stock fish and pomo until it’s tender.,
,When meat is cooked and the stock reduced add palm oil, periwinkle and crayfish. Allow to cook for 3 minutes.,
,Add waterleaf and allow to wilt for 5 minutes.,
,Next add Ukazi leaves and cook for a further 3 minutes."
"
                Chicken and Vegetable Stir-fry
            ","
                    Stir-fry recipes deliver a fast, fresh and delicious meal for any occasion, and our Chicken and Veggie Stir-Fry makes a dish that is as tantalizing to the eye as it is to the taste buds. Fry your chicken strips until it’s browned and make sure not to overcook your veggies – serve with some rice or noodles and see the faces around your dinner table light up! 
                ","
                ,2 red bell peppers,
2 yellow bell peppers,
1 green bell pepper,
5 medium sized carrots,
                ,A handful of green beans,
½ onion,
3 tbsp. sesame oil,
½ cup oyster sauce,
                ,½ cup light soy sauce,
Shoprite chicken strips pack",
"
                Abacha African Salad
            ","
                    Find out how to make traditional Abacha with this easy-to-follow guide for preparing this popular African salad just the way you like it. Served with two pieces of fresh fish and tasty cow skin, it’s a filling meal with many different flavours.
                ","
                ,2 pieces of fresh fish,
6 pieces of pomo (cow skin),
½ cup chopped utazi leaves (Gongronema latifolium),
1 tbsp. ground crayfish,
,
                ,2 cooking spoons palm oil,
1 tsp. ground ehu seeds (calabash nutmeg),
Dry grounded pepper, to taste,
2 garden eggs,
,
                ,½ tsp. ground ogiri/iru,
1 tsp. grand potash ""akaun"",
2 medium size onions,
3 handfuls abacha,
1 wrap ugba (ukpaka","In a bowl of warm water, add the abacha and allow soaking for 40 minutes. Drain and set aside.,
,Chop the utazi leaves, wash the garden eggs.,
,Spice and fry the fish.,
,Dice one of the onions and cut the other into ringlets.,
,Spice and boil the pomo.,
,Pour the potash into a cup with warm water and stir very well.,
,Pour the palm oil into a pot, add the potash mixture (avoid pouring the potash-residue in along with it), then stir until the palm oil and potash mixture turns into a yellow paste.,
,Add the crayfish, pepper, ground ehu, ugba, iru/ogiri, diced onions and seasoning to taste. Stir the mixture very well.,
,Add the soaked abacha into the mixture and stir very well and its ready.,
,Garnish with the fried fish, pomo, garden eggs, sliced utazi (use sparingly), garden egg leaves, and onions (ringlets)."
"
                Jollof Rice with Steamed Vegetables
            ","
                    With this tasty jollof rice recipe, we’ll show you how to make the perfect side dishes for fried beef or chicken. The rice has a fantastic flavour thanks to a unique cooking method, while some yummy steamed vegetables will round off your meal both in taste and nutrition.
                ","
                ,2 cups (500 grams) parboiled rice,
4 medium fresh peppers (rodo),
4 medium fresh bell peppers (tatashe),
8 medium fresh bell tomatoes,
8 medium pieces of beef or chicken thighs,
                ,½ cup crayfish,
3 medium garlic cloves,
1 small ginger,
2 sachets tomato puree,
                ,2 cooking spoon groundnut oil,
Seasoning and salt to taste,
1 large onion,
1 cup green peas","Blend the fresh rodo, tatashe, tomatoes, ginger, garlic and crayfish.,
,Wash, spice and boil the beef or chicken until tender, then fry.,
,Add the oil used in frying the chicken or beef to a clean pot.,
,Add the onions, tomato puree and blended mixture. Fry for 20 minutes. Add the seasoning.,
,Add the beef stock along with 1 or 2 cups of hot water, and stir. Add the parboiled rice (the water and rice must be on the same level). ,
,Cook on low heat for 20 minutes (you can add more water later if the water dried up and the rice is not well-cooked yet). Add the green peas, sliced onion and sliced tomatoes. Stir with a wooden spoon and cook for 10 minutes."
"
                Jollof Garri
            ","
                    Seasoned with just the right spices and served whole, a fried croaker fish is an impressive addition to any table. This recipe shows you how to prepare a delicious tomato and fresh pepper sauce to serve with the fish, along with one of our favourite staples – garri.
                ","
                ,1 cup white garri (cassava flakes),
1 medium croaker fish,
7 medium fresh tomatoes,
2 medium fresh peppers (rhodo),
                ,1 medium bell pepper (tatashe),
1 tbsp. tomato puree,
½ cup crayfish,
                ,2 cooking spoon groundnut oil,
1 medium onion,
Seasoning/salt to taste","Wash, spice and fry the croaker fish, then set aside.,
,Blend the tomatoes, rhodo, tatashe, and crayfish.,
,In a clean pot, pour the groundnut oil, add half of the onion, stir, then add the tomato puree. Fry for 1 minute.,
,Add the blended mix. Fry for 20 minutes.,
,Add seasoning and salt to taste and fry for 1 minute.,
,Remove half of the sauce from the pot and set aside.,
,Add 2 cups of water to the remaining sauce in the pot and boil for 2 minutes.,
,Remove from heat and stir with a wooden spoon for 1 minute. Add the garri and stir (as if you are making eba)."
"
                Gizdodo
            ","
                    Golden brown, fried plantain and tasty gizzards – do we need to say more? This colourful gizdodo recipe is a classic and a great idea for celebrations and get-togethers with family and friends. Its wide variety of flavours will definitely be appreciated.
                ","
                ,1 cup ripe plantain, chopped,
10 medium gizzards,
1 medium onion,
4 medium fresh tomatoes,
3 medium rodo (Scotch bonnet pepper),
,
                ,1 large tatashe (bell pepper),
2 cooking spoons  groundnut oil,
½ cup cut carrots (optional),
5 medium mushrooms (optional),
                ,1 large green pepper,
½ tsp. thyme/curry,
Seasoning/salt to taste","Fry the chopped plantain until it turns golden brown. Set aside.,
,Spice and boil the gizzards until tender. Fry or grill, then set aside.,
,Soak the carrot in hot water to soften it, drain and set aside.,
,Chop the tomatoes, rodo, tatashe and the onions.,
,Cut the mushrooms into halves.,
,Dice the green pepper.,
,In a clean pot, add some oil used in frying the plantain, add the chopped tomatoes, rodo, tatashe and onions. Fry for 15 minutes.,
,Add the stock from the cooked gizzards, curry and thyme. Cook for 5 minutes (until the water is almost dried up).,
,Add the mushroom and gizzards, stir and cook for 5 minutes.,
,Add the fried plantain, stir and adjust seasoning to taste.,
,Add the carrot and green pepper.,
,Simmer for 3 minutes."
"
                Gbegiri Classic
            ","
                    A creamy, flavoursome sauce really makes this goat meat recipe a special one. Gbegiri is especially delicious with amala, but can also be served with any other swallow of your choice. Your family is going to love it.
                ","
                ,½ cup black eye peas,
6 pieces goat meat (or any meat of your choice),
Salt, to taste,
,
                ,Beef seasoning,
Onion,
3 red peppers (rhodo),
                ,1 tbsp. ground crayfish,
1 cooking spoon palm oil,
1 bunch ewedu leaf","Peel the beans, pour into a pot, add water and a little potash (this will help it soften faster) and boil for about 20 minutes. Allow it to cool and blend it with the red pepper.,
,Season the goat meat with salt, beef seasoning and a little bit of onion. Cook until tender.,
,Add the blended beans, red oil, and crayfish to the meat. Boil for 10 minutes and add salt to taste.,
,Wash and chop the ewedu leaves (you can blend if you prefer to).,
,Boil ¾ cup water and stir in the ewedu. Add seasoning and cook for about 3 minutes.,
,Serve soup with amala or any other swallow of choice."
"
                Fried Yam with Chilli Sauce
            ","
                    An easy dish to serve on its own or with other meals, there’s nothing like a good fried yam recipe when you’re looking for home-style comfort food. Served with fresh fish and a chilli sauce made from scratch, this is a meal you’ll enjoy from start to finish.
                ","
                ,2 large cups of sliced yams,
2 medium fresh fish,
1 large fresh bell pepper (tatashe),
4 medium fresh peppers (rodo),
                ,2 medium fresh tomatoes,
3 medium garlic cloves,
1 medium onion,
,
                ,½ cup crayfish,
1 cup groundnut oil,
Seasoning/salt to taste","Wash and spice the fish, then fry and set aside.,
,Soak the yam in a bowl of salted water for 15 minutes to help soften it a bit.,
,Blend the fresh tomatoes, pepper, onions, garlic and crayfish together into a mixture (don’t make it too smooth).,
,In a clean pot, add 1 cooking spoon of groundnut oil. Once it’s hot, add some onions and brown. Add the blended mixture and fry for 15 minutes until all the water is dried up.,
,Add seasoning and salt to taste.,
,Fry for a minute then remove from heat.,
,Put a clean frying pan on fire. Add the groundnut oil when it is hot, then add the yams and fry for 15 minutes (put a fork into the yams to confirm if it is soft) or better still, you can use a deep fryer.,
,Serve the fried yam, fish and chilli sauce hot."
"
                Nigerian Fried Rice
            ","
                    Find out first-hand why Nigerian fried rice is so popular by trying this scrumptious, easy recipe. Served alongside chicken, its almost too good to be true. Whether you have it as a side dish or a meal on its own, the spicy flavours will have you at the first bite.
                ","
                ,2 cups long grain white rice,
2 large green peppers,
1 small cabbage,
1 large onion,
½ cup green beans,
                ,4 large carrots,
2 cups chicken stock,
½ tbsp. white pepper,
3 cooking spoons groundnut oil,
,
                ,4 large chicken thighs (or other meat of choice),
1 tsp. curry powder,
Seasoning and salt to taste","Wash and spice the chicken pieces. Boil until tender, then fry or grill them.,
,Chop the carrot, cabbage, green pepper and green beans.,
,Parboil the rice, then cook in the chicken stock (add 2 extra cups of water). Cook until almost tender, then set aside.,
,Put a clean frying pan on fire. Add groundnut oil and onion to the pan. Stir for a minute then add the carrot and green beans. Stir for another minute.,
,Add the cabbage, green pepper, white pepper, curry, seasoning and salt to taste (try to keep it a bit spicy). Stir-fry for 2 minutes.,
,Add the rice to the mix, stir and simmer for 5 minutes. Serve with the chicken."
"
                Ewa Agoyin
            ","
                    This classic dish is a no-frills, no-fuss delight that will bring back childhood memories for many. The textured bean mixture is not only filling, but has a hint of chilli for those who like things a bit more spicy. If it’s a truly comforting meal you’re looking for, go ahead and prepare this easy to follow beans recipe.
                ","
                ,1 cup red or white beans (black-eyed peas),
1 cooking spoon crayfish,
10 pieces dried chilli pepper (shombo),
                ,½ cup palm oil,
1 large bell pepper (tatashe),
3 small garlic cloves,
½ tsp. ginger,
,
                ,1 large onion, chopped,
Seasoning and salt, to taste","Wash the beans in warm water, put in a clean pot, add hot water and cook for 1 hour or until the beans are very soft. Add salt to taste, mash together and set aside.,
,In a bowl, combine hot water and dried chilli pepper. Allow it to soften.,
,Blend the softened pepper, ginger, garlic, crayfish and the bell pepper into a mixture, then pour the blended mixture into a sieve and allow the excess water to drain.,
,Put a clean pot on the fire, add the palm oil, reduce the heat and allow the oil to heat up (until the oil changes to a clear colour).,
,Add in the chopped onion, stir for 15 minutes until the onion turns deep brown and then add the blended mixture, crayfish, seasoning and salt to taste. Stir and fry for 20 minutes (until the sauce is well fried – almost black but not burnt).,
,Add some mashed agoyin beans into the sauce, stir and fry for 5 minutes.,
,Serve the sauce with the agoyin beans."
"
                Egusi Stew
            ","
                    This lip-smacking stew recipe has all the right ingredients to become your family’s most loved dish – kpomo, tripe, stockfish, beef and more. Serve with pasta, rice, eko (agidi) or any swallow of your choice. It’s going to be a hit no matter what.
                ","
                ,2 cups of egusi (melon seed),
2 cooking spoons (red palm oil),
Beef,
Kpomo (cow skin),
Shaki (cow tripe),
                ,Dry fish, stockfish,
Crayfish,
Fresh yellow pepper (the Igbo love this pepper),
Bitter leaf (very tiny),
                ,Garlic and ginger, to taste,
Seasoning","Soak the stockfish and the dry fish in hot water for about 20 minutes.,
,When the dry fish and stockfish are soft, debone and break them into sizeable chunks.,
,Wash the egusi, fresh pepper, garlic, ginger and crayfish. Blend them together with some water, just like you blend your fresh pepper and tomatoes.,
,Wash the beef and shaki, add seasoning and a little bit of salt. Boil for about 10 minutes.,
,Add the stockfish and the dry fish. Boil until the beef/shaki is tender. Remove only the beef, then pour the blended egusi mixture and allow it to boil for 30 minutes.,
NOTE: The egusi needs to cook very well, otherwise it could make you sick.,
,Add the tiny bitter leaf, palm oil and remaining seasoning (to your taste). Allow it to cook for 5 minutes. Serve and enjoy."
"
                Dodo with Egg Stew
            ","
                    A smoked fish and eggs combo means this dish is packed with essential fatty acids and tons of protein, making it a perfectly healthy meal for any occasion. Served up with dodo or yams, it simply couldn’t get any better.
                ","
                ,3 fresh eggs,
1 medium smoked fish,
4 medium fresh tomatoes,
                ,2 pieces fresh pepper (rhodo),
1 medium onion,
                ,1 cooking spoon groundnut oil,
Seasoning/salt to taste","Wash and blend the tomatoes, pepper and half of the onions. Set aside.,
,Whisk the eggs and set aside.,
,Chop the remaining onions.,
,Debone the smoked fish and shred.,
,Pour the groundnut oil into a clean pot. When it’s hot, add the onions and when they turn golden, add the blended mixture. Fry for 20 minutes.,
,Add the seasoning and shredded smoked fish. Fry for 3 minutes.,
,Add the eggs. After 60 seconds, stir for 5 minutes.,
,Serve with dodo or yams."
"
                Cabbage Sauce
            ","
                    There’s nothing like mouth-watering cabbage sauce to add some life to your yams, pasta or rice. This dish is a colourful vegetable blend with chunks of beef, making for a healthy meal that’s just as tasty as it is nutritious. Just make sure you don’t add too much seasoning as the crayfish already adds a lot of flavour.
                ","
                ,1 medium cabbage,
3 medium green peppers,
8 large carrots,
1 bunch of spring onions,
                ,1 cup green peas,
3 medium red peppers (rhodo),
8 pieces fresh meat (beef),
1 cup crayfish,
,
                ,2 cooking spoons groundnut oil,
Ginger/garlic,
Seasoning/salt to taste","Wash and marinate the meat. Boil until tender.,
,Slice the cabbage.,
,Grate the carrots.,
,Dice the boiled meat, green pepper and spring onions.,
,Blend the red pepper, crayfish, ginger and garlic into a mixture.,
,Put a clean pot on fire and add the groundnut oil. When it’s hot, add the blended mixture to the pot and fry very well.,
,Add the diced meat and cook for 2 minutes. Add the carrot, green pepper, spring onions, green peas, and sliced cabbage. Stir for a minute and remove from the heat.,
,Serve with boiled yam, pasta or rice."
"
                Bitter Leaf Soup Ofe Onugbu
            ","
                    This bitter leaf soup recipe (also know as Ofe Onugbu) is generously stocked with flavoursome meats, fish and cocoyams. Make it when you’re in the mood for something warm, serve with your favourite swallow, tuck in and enjoy.
                ","
                ,½ cup washed bitter leaf,
4 medium cocoyams,
10 medium size assorted meats,
3 medium smoked or dry fish,
                ,1 medium size stock fish,
Ground dry pepper, to taste,
1 tbsp. ogiri (locust beans),
,
                ,½ cup ground crayfish,
2 cooking spoons palm oil,
Seasoning/salt to taste","Peel, wash and boil the cocoyam till tender, then blend or pound in a mortar.,
,Soak the stock fish in hot water to soften.,
,Season and boil the assorted meat until tender then add the stock fish and dry fish and allow boiling for 10 minutes.,
,Add the palm oil, ogiri, dry pepper, ground crayfish and cook for 3 minutes.,
,Add the cocoyam paste and stir very well. (you can add more water if it’s too thick), allow cooking for 5 minutes.,
,Add the bitter leaf, seasoning and salt to taste. Allow simmering for 5 minutes.,
"
"
                Beans Delight with Dodo
            ","
                    Also known as fried plantain, dodo is a widespread favourite, and for good reason. Try this delicious recipe for beans to serve the staple with something really special. With roasted fish and rhodo in the mix, you’ll be getting a protein-rich dish with just the right amount of flavour.
                ","
                ,1 cup beans (black-eyed peas),
3 medium-sized roasted fish (panla),
3 medium red peppers (rhodo),
,
                ,1 medium onions,
½ cup crayfish,
1 cooking spoon palm oil,
                ,Ugu (pumpkin leaves),
Seasoning,
Salt, to taste","Boil the beans for 5 minutes. Drain, put it back on the fire, add clean water and boil until soft (you need to drain them the first time to remove chemicals/fertilisers used on the beans when they’re planted).,
,Debone and wash the roasted fish.,
,Shred, wash and drain the ugu (pumpkin leaves) in a sieve.,
,Blend the red pepper and crayfish together.,
,Put a clean pot on the fire and add the palm oil. When it’s hot, add chopped onions and fry until brown. Add blended pepper, crayfish and roasted fish, and fry for another 10 minutes until well done.,
,Pour the fried pepper onto the boiled beans, add the washed ugu leaves and stir very well. Add seasoning and salt to taste.,
,Cook for 3 minutes and remove from the heat.,
,Serve with fried dodo (plantain)."
"
                Asun Grilled Goat Meat
            ","
                    There’s nothing like the wholesome taste of grilled goat meat. So, the next time you’re looking for dinner recipes, give this Asun a try. Its simple ingredients will surprise you, especially with rodo peppers adding that bit of spice so many of us love.
                ","
                ,1 kg goat meat with skin,
3 medium rodo peppers (Scotch bonnet pepper),
                ,1 large onion,
2 tsp. groundnut oil,
                ,Seasoning/salt to taste","Cut the goat meat into sizeable chunks, spice, put on a low heat and cook until tender (allow the water to dry up).,
,Crush the rodo and half of the onion.,
,Cut the cooked goat meat into tiny chunks.,
,In a clean pan, add the oil and the crushed mixture. Fry for 1 minute. Add the goat meat, stir and taste for seasoning.,
,Use the remaining onion to garnish. Serve with any chilled drink of choice."
"
                Egg Roll
            ","
                    We all love eggs for breakfast, but we have a recipe for a crispy delight that can be enjoyed any time of day!  
                ","
                ,2 Cups All Purpose Flour,
3 tbs Butter,
1/2 tsp Baking Powder,
1 tsp Nutmeg,
                ,1/2 Cup Milk,
1 Egg, whisked,
1/4 tsp Salt,
,
                ,1/4 Cups Sugar,
3 Boiled Eggs,
Vegetable `Oil for deep frying","Boil 3 eggs till hard, place in a cold bowl of water and set aside.,
,Sift flour in a bowl and add all the dry ingredients. Mix all till properly combined.,
,Add butter and using your fingers, rub it in till it is crumbly.,
,Add milk and Eggs and mix properly then begin to knead till you form a round dough,
,Place in a bowl, cover and set aside,
,Peel boiled eggs and pat dry with a kitchen tissue.,
,Divide the dough into three and place on a chopping board, knead each piece and wrap around boiled egg till it is sealed.,
,Place a pot on the cooker and fill with enough oil to deep-fry the egg roll,
,When it is hot, drop each egg roll in the oil gently and reduce the heat to medium. Fry for about 7-10 minutes.,
,Take out of the oil and allow to drain."
"
                Spicy Stir-Fry Spaghetti
            ","
                    Stir-fry recipes deliver a fast, fresh and delicious meal for any occasion! Our spicy chicken stir-fry makes a colourful and aromatic spaghetti that’ll have you coming back for more.
                ","
                ,Stir Fry Chicken (Washed and drained),
1 Green Bell Pepper (Sliced),
1 Red Bell Pepper (Sliced),
1 Onion (Sliced),
1 tsp Ginger (Chopped),
                ,1 tsp Garlic (Chopped),
1/4 Cup Chicken stock,
1 Seasoning Cube,
1 tsp salt,
                ,1 tsp Curry powder,
1 tsp Thyme,
2 tsp heap of Shitto,
1/2 a pack of really thin Spaghetti,
3 tbs Vegetable Oil","In a wok preferable, but if you don't have that use a non stick frying pan, heat up 2 tbs of vegetable oil.,
,Add onion, ginger and garlic and stir fry on high heat for about 2 minutes. Add half a seasoning cube, curry and thyme.,
,Next add the green and red peppers and stir fry for 2 minutes.  While stir frying, on another hob, place a pot of water add one salt and a few drops of vegetable oil and allow to boil while you are busy with the stir fry.,
,Transfer the vegetables (pepper) to a plate, and in that same pan add the stir fry chicken, it is important that the chicken is not dropping of water, this is meant to be stir ""fried""...water will be it boil instead. Go back to the pot of boiling water and add your spaghetti to start cooking.,
,Add salt and half seasoning cube to the chicken and keep stir frying for about 5-7 minutes, till the chicken is cooked.,
,Now add the previously set aside vegetable back to the pan of chicken and combine, add two heaped tbs of shitto and mix as well, also add the chicken stock.,
,It should take 6 minutes for your spaghetti to cook-the time it takes for the chicken to stir fry. Drain the spaghetti and transfer to the stir-fry pan.,
,Combine everything and allow stir fry for another 2 minutes.,
,Your stir fry chicken spaghetti is ready!"
"
                Plantain Porridge
            ","
                    Nutritious and full of uniquely Nigerian flavours, this plantain porridge is the perfect dish for a relaxed lunch with friends. Go ahead and try it today - you’ll love the chicken aromas and it goes down especially well with a chilled drink in hand.
                ","
                ,2 large semi-ripe plantains,
4 medium cut chicken or meat pieces of choice,
2 cups shredded spinach or vegetables of choice,
,
                ,1 tbsp. ground crayfish,
3 medium Scotch bonnet peppers (ata rodo peppers),
,
                ,1 cooking spoon palm oil,
1 medium onion,
Seasoning and salt, to taste","Wash, season and boil the chicken until tender, then set aside. Keep the chicken stock.,
,Cut the plantain into small chunks.,
,In a clean pot, add the chicken stock and add the cut plantains. The stock should just cover the plantains – if there isn’t enough stock, just add more water. Cook for 5 minutes.,
,Add the crayfish, rodo, onions, palm oil, seasoning and salt to taste. Cook for 15 minutes.,
,Add the spinach, then simmer for 2 minutes.,
,Serve with a chilled drink."
"
                Crispy Chicken with Crushed Potato 
            ","
                    This wholesome and delicious roast chicken recipe is a warm and comforting winner – especially in winter. More than that, it's also perfect for a busy weekday’s dinner. It’s as simple as spicing the meat, drizzling with oil, and popping it in the oven along with some potatoes. Just be sure to coat each piece properly, as this will help the chicken to cook sooner and come out crispy and full of flavour. Serve with some steamed vegetables or salad for a perfectly balanced meal.
                ","
                ,Coarse salt and freshly ground black pepper,
30 ml (2 tbsp.) chicken spice,
,
,
                ,20 ml (4 tsp.) butter,
2 onions, quartered,
4-6 chicken pieces,
                ,4 potatoes,
Olive oil","Preheat the oven to 230 °C.,
,Season the chicken with the spice and brush with oil.,
,Arrange the chicken, potatoes and onions on a baking sheet. Drizzle the vegetables with oil and season with salt.,
,Bake for 45 minutes.,
,Crush potatoes slightly, put a knob of butter on each and season with salt and pepper.,
,Serve with a green salad."
"
                Chocolate Peanut Balls
            ","
                    If you’re looking for special dessert ideas, try these nutty sweet treats. They’re not only full of yumminess, but tonnes of fun to make too. You can serve your peanut sweets completely dipped and smothered in smooth chocolate, or simply pop them on a plate with a generous spoonful of the sauce. The crunchy goodness is going to be a hit either way.
                ","
                ,2 cooking spoons water,
½ cup sugar,
,
                ,1.5 cup peeled, roasted peanuts,
Drop of lime (optional),
,
                ,4 medium chocolate bars","Break each peanut (seed) into two and remove the embryonic root.,
,In a clean pot, bring the water to a boil. Add the sugar gradually, stirring with a wooding spoon.,
,Keep stirring until the mixture turns light brown (about 5 minutes).,
,Add the peanuts and stir together until they stick, then remove from the heat and cool for 2 minutes.,
,Wash your hands very well. Using a cooking spoon, take a scoop of the mixture and mould into a ball using your hands (be careful not to get your hands burnt).,
,Remould each ball of peanut again until it solidifies.,
,Set aside and cool.,
,Break the chocolate into pieces and place in a clean saucepan over very low heat. Start stirring until the chocolate begins to melt.,
,Remove from the heat and continue to stir until the chocolate becomes smooth.,
,Pour the chocolate over the peanut ball or dip each peanut ball into the melted chocolate individually."
"
                Banana Cake
            ","
                    Easy and packed with flavour, this banana cake has everything it needs to please a crowd, including a special secret – it’s unique topping. Be warned, though, it usually doesn’t last long after being taken out of the oven so we suggest baking extra if you’re planning on saving some for the next day.
                ","
                ,125 g butter or margarine,
180 ml (¾ cup) sugar,
2 extra-large eggs,
430 ml (1 ¾ cups) cake flour,
10 ml (2 tsp.) baking powder,
                ,2 ml salt,
4 ml bicarbonate of soda,
15 ml (1 tbsp.) water,
250 ml (1 cup) mashed banana,
15 ml (1 tbsp.) milk,
                ,:,
30 ml (2 tbsp.) brown sugar,
7 ml (1 ½ tsp.) ground cinnamon,
60 ml (¼ cup) walnuts, finely chopped","Preheat the oven to 180 °C and grease a 22 cm loose-bottomed cake tin with butter or nonstick spray.,
,Dust with flour. Cream the butter or margarine and sugar together, then add the eggs one by one, beating well after each addition.,
,Sift the flour, baking powder and salt together.,
,Dissolve the bicarbonate of soda in the water and mix with the mashed banana and milk.,
,Add to the creamed mixture, alternating with the dry ingredients.,
,Mix all the ingredients for the topping.,
,Turn the batter into the tin, spreading evenly.,
,Scatter with the topping mixture. Bake for 45 minutes or until risen and a testing skewer inserted in the centre comes out clean."
"
                Mango Chicken
            ","
                    Deliciously sweet and fruity mango pairs perfectly with chicken in this easy-as-can-be recipe. Try it today!
                ","
                ,3 Mangoes,
2 Habanero Peppers,
1/2 Onion,
1 teaspoon Salt,
                ,1 Seasoning Cube,
6 Chicken Drumsticks,
4 tablespoons Olive Oil,
                ,1 teaspoon Thyme,
1 teaspoon Curry,
1 long Green Chilli","Wash and turn your chicken into lollipops by cutting off one end and pushing the bone all the way to the other end (see video to understand better).,
,In a blender, add mango pulp, habanero pepper, curry, thyme, salt, green chilli, olive oil, onions, seasoning cube and blend until you have a paste.,
,Add the mango marinade to the chicken and leave in the fridge for 3 hours or cook immediately.,
,Add chicken to a baking tray and place in a pre-heated oven for 35 minutes.,
,Take out and allow to rest."
"
                Roast Chicken
            ","
                    Roast chicken is the ultimate in comfort food. Succulent and full of flavour, this dish is a guaranteed favourite for any occasion. Try our recipe today.
                ","
                ,5 Chicken quarters,
1 Red Onion,
1 teaspoon Cameroon Pepper,
4 tablespoons Suya Spice,
                ,2 teaspoons Salt,
1 teaspoon crushed Ginger,
2 Seasoning Cubes,
1 tablespoon Thyme,
                ,1 tablespoon Curry,
3 Green Chillis,
3 tablespoons Olive Oil","Preheat oven to 400 degrees.,
,In a blender/processor, blend all the ingredients together, except the chicken.,
,Wash and dab the chicken dry with a kitchen towel or just leave to drain.,
,Add the blended marinade into a big bowl and add the chicken, rub it all over the chicken. You can place the chicken in the fridge to marinate for 30 minutes, overnight or cook immediately.,
,Place the marinated chicken in a baking tray, skin side down first and place in the middle rack of the oven for 15 minutes; keep checking the chicken to make sure it does not burn.,
,At the 15-minute mark, reduce the heat and flip the chicken. Use a cooking brush to apply a bit of olive oil and suya pepper on each side of the chicken as this intensifies the flavour.,
,Check the chicken every 15 minutes and flip, cook for a total of 40 minutes.,
,This chicken is enjoyed best when you eat it immediately because the skin will be crispy and inside moist."
